"Delivery","Lieferung"
"Pick-up","Abholen"
"Your order will be delivered with", "Ihre Bestellung wird geliefert mit"
"Your order will be shipped with",  "Ihre Bestellung wird versendet mit"
"Ships on this date from the Netherlands", "Wird an diesem Tag aus den Niederlanden versendet"
"on", "den"
"between", "zwischen"
"Click here to choose a different delivery option", "Klicken Sie hier, um eine andere Versandoption auswählen"
"Want to deliver today or another day? Click here", "Möchten Sie es heute oder an einem anderen Tag geliefert bekommen? Klicke hier"
"Choose a valid address before you can select a shipping method.", "Bitte wählen Sie eine gültige Lieferadresse, bevor Sie eine Versandart auswählen können."
"Show business hours", "Öffnungszeiten anzeigen"
"Unfortunately, no pick-up points could be found.", "Leider konnten keine Sammelstellen gefunden werden."
"Select another pick-up point near you below or", "Wählen Sie unten einen anderen Abholpunkt oder"
"click here", " klicke hier "
"to choose another pick-up point", "um einen anderen Abholpunkt zu wählen."
"Click here to choose another pick-up point", "Klicken Sie hier, um einen anderen Abholpunkt auszuwählen."
"Close","Schließen"
"Select pick-up point","Abholpunkt auswählen"
"Use selection","Auswahl verwenden"
"Select delivery option", "Wählen Sie die Lieferoption"
"Montapacking - Webshop", "Montapacking - Webshop"
"Montapacking - Username", "Montapacking - Username"
"Montapacking - Password", "Montapacking - Password"
"Shipping Cost", "Versandkosten"
"Pick-up address","Abholadresse"
"Delivery Information","Lieferinformationen"
"hour"," Stunde"
"SignatureOnDelivery", "Auf Quittung unterschreiben"
"NoNeighbour", "Nicht an die Nachbarn liefern"
"EveningDelivery", "Lieferung am Abend"
"SaturdayDelivery", "Lieferung am Samstag"
"SameDayDelivery", "Lieferung am selben Tag"
"from", "von"
"Monday", "Montag"
"Tuesday", "Dienstag"
"Wednesday", "Mittwoch"
"Thursday", "Donnerstag"
"Friday", "Freitag"
"Saturday", "Samstag"
"Sunday", "Sonntag"
"January", "Januar"
"February", "Februar"
"March", "März"
"April", "April"
"May", "Mai"
"June", "Juni"
"July", "Juli"
"August", "August"
"September", "September"
"October", "Oktober"
"November", "November"
"December", "Dezember"
"Choose your desired additional options", "Wählen Sie Ihre gewünschten Zusatzoptionen"
"Please select a delivery option. If no options are visible, please make sure you've entered your address information correctly.", "Wählen Sie eine Lieferoption aus. Wenn keine Optionen sichtbar sind, überprüfen Sie, ob Sie Ihre Adressdaten richtig eingegeben haben."
"Post number", "Postleitzahl"
"Please select a postnumber. This is mandatory for pack stations", "Bitte wählen Sie eine Postleitzahl aus. Dies ist für Packstationen obligatorisch."
